Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/jk94643038/status/1721613386574643617,FAITHFUL FEW,https://twitter.com/jk94643038,2023-11-06,An angry #Jew blocked me for stating I have a right to share my #Christian faith. The funny thing is I’ve posted up to a thousand #proIsrael comments and I despise #Hamas. But I see this person’s face as the next #Hamas. If #AngelaVanDerPluym’s tone towards Christianity or any…,https://pbs.twimg.com/media/F-RmP8XXoAAFNZc?format=jpg&name=small,https://twitter.com/jk94643038/status/1721613386574643617,False,1,1,3,400
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/footballisfire/status/1719692762717544883,EsotericEnigma,https://twitter.com/footballisfire,2023-11-01,As a Christian I am pro-Israel— Read this (from the  Talmud):#ProIsrael #Israelunderattack #Palestine #Netanyahu #IsraelFightsTerror #Christianity,https://pbs.twimg.com/media/F92TdEPWYAAEh6d?format=jpg&name=small,https://twitter.com/footballisfire/status/1719692762717544883,False,,,,69
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/WashingtonViews/status/1721519807625912768,Washington ViewsThe Jewish Federation of Greater Washington,https://twitter.com/WashingtonViews,2023-11-06,"A pro-Israel rally in Washington DC next week (Tuesday, November 14) https://twitter.com/JFGW/status/1721165198126387591… #Israel #ProIsrael #AmYisraelChai @jfederations @JCRCgw @Conf_of_Pres #Hamas #Palestinians",https://pbs.twimg.com/media/F-LOn7KW4AAXvrh?format=jpg&name=small,https://twitter.com/WashingtonViews/status/1721519807625912768,False,,,,251
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/AbdallahSam/status/1721769846202114132,Sam Abdallah,https://twitter.com/AbdallahSam,2023-11-07,Do #proIsrael support this? Are they smart enough to know who started Hamas and how it became legally registered in Israel?  Are they aware of what the Israeli government has been doing to Palestinians' ongoing conflict since 75 years ago? What in their mindset? What make them…,,https://twitter.com/AbdallahSam/status/1721769846202114132,False,1,,1,47
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/sheik_who/status/1719341273734107274,Commodore,https://twitter.com/sheik_who,2023-10-31,#proisrael supporting #Palestinians,https://pbs.twimg.com/card_img/1722064369897316352/_hYG_ojC?format=jpg&name=small,https://twitter.com/sheik_who/status/1719341273734107274,False,,,,39
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/Misfit309/status/1720106146256519629,Wyatt O'Neal,https://twitter.com/Misfit309,2023-11-02,"When you know someone has a history of being a snake, you don't stick your hand back in the basket. You burn the basket.#Fafo #infidel #proIsrael",,https://twitter.com/Misfit309/status/1720106146256519629,False,,,,36
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/jk94643038/status/1721968185929322831,FAITHFUL FEWBella,https://twitter.com/jk94643038,2023-11-07,"Tragic what happened to him. However, it appears that people are very naive to the violence in this world. I am ready for the unexpected when I go to the grocery store never mind a heated #ProIsrael or #ProPalestinian rally. Wake up folks. People are emotionally deranged out…",https://pbs.twimg.com/media/F-WJRERawAIu3qe?format=png&name=small,https://twitter.com/jk94643038/status/1721968185929322831,False,,1,1,78
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/atErikM/status/1721574668010999824,Erik Terik AshfolkJohn Hudson,https://twitter.com/atErikM,2023-11-06,"#ProISRAEL #lobbyist #groups & #individuals #contributed ~$31 MILLION to #American #congressional #candidates inLastYr’s #election #cycle, thats >6x GunRights #lobby.75+Years #israeliCrimes #usaCrimes #zioCrimes#USCongress#SupremeCourt#Ethics#UnEthical #UnLoyal #Corruption",https://pbs.twimg.com/media/F-RDCUuaUAAHF67?format=jpg&name=900x900,https://twitter.com/atErikM/status/1721574668010999824,False,,1,1,51
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/TwoPair55/status/1722006159203135733,Johnwick    Dr. Eli DavidReload,https://twitter.com/TwoPair55,2023-11-07,See the difference !#proIsrael,,https://twitter.com/TwoPair55/status/1722006159203135733,False,,,,33
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/IptvGlenn/status/1722339013242302941,WHITE PRIDEClown World ™ Reload,https://twitter.com/IptvGlenn,2023-11-08,This people should be do stopped for racism hate speech and his bosses should fire him other bosses should fire this people who speak hate and racism #proisrael •#standwithisrael •#istandwithisrael •#combatantisemitism,,https://twitter.com/IptvGlenn/status/1722339013242302941,False,,1,4,70
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/CatholicSeabee/status/1721218998254051555,Kraig Hensley,https://twitter.com/CatholicSeabee,2023-11-05,"Alright enough is enough. Any more statues get desecrated it’s time to start putting Allah on front street! An ancient Mesopotamian Moon God and has nothing to with Mohammed! (1st Amendment, #FAFO, #AllahIsFake #ProIsrael )",,https://twitter.com/CatholicSeabee/status/1721218998254051555,False,,,,20
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/IptvGlenn/status/1722287065448981000,WHITE PRIDE,https://twitter.com/IptvGlenn,2023-11-08,Be careful  pro Hamas sending fake pictures/messages/with propaganda from pro Palestinian actors #proisrael •#standwithisrael •#istandwithisrael •#combatantisemitism,https://pbs.twimg.com/media/F-bK9UqacAAYegK?format=jpg&name=240x240,https://twitter.com/IptvGlenn/status/1722287065448981000,False,,,2,103
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/Sarah__A_B/status/1722350288449806678,Sarah AB True Memes,https://twitter.com/Sarah__A_B,2023-11-08,#Boycott #proisrael brands #IsraeliNewNazism #GazaGeniocide #palestine,https://pbs.twimg.com/media/F-b3OaRWoAAX2_K?format=jpg&name=small,https://twitter.com/Sarah__A_B/status/1722350288449806678,False,,,,13
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/XTurmoil/status/1719451270333816920,xav turmoilxav turmoil,https://twitter.com/XTurmoil,2023-10-31,#Israel #Palestine #pochoirs #proisrael #antisémitisme @lemondefr @libe @CheckNewsfr,,https://twitter.com/XTurmoil/status/1719451270333816920,False,,,,53
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/DenisonForum/status/1721502187891937747/,Denison Forum: News Discerned Differently,https://twitter.com/DenisonForum,,"Protestors, governments, and newspapers are asking #Israel for a ceasefire, or at least a “humanitarian pause” in the Israel–Hamas war. In the face of such tragic suffering, such widespread calls are understandable. But there’s more to the story.",https://pbs.twimg.com/media/F-P_16SXYAA4dVm?format=jpg&name=small,https://twitter.com/DenisonForum/status/1721502187891937747/,True,7,12,65,27K
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/imabaddiepuurrr/status/1721159491922677924,Gr8pairof..,https://twitter.com/imabaddiepuurrr,2023-11-05,If you have been a #bully before you've been #bullied time to turn that on the #ProIsrael and DO YOUR WORST!,,https://twitter.com/imabaddiepuurrr/status/1721159491922677924,False,,,,37
