,Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Tweet_Number_of_Looks
20,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/idan_bg/status/1721969234912133594,Era GigmanReload,https://twitter.com/idan_bg,45237,New evidence. twThe Palestinian Hamas Terrorists murder and capture civilians. One of them is an Israeli Arab.Note: they are dressed as an IDF soldier except for the green (Hamas) headband. #October7massacre #Israel,,742,536,149,62K
21,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/koshadillz/status/1722112313338089590,Kosha Dillz (bring the family home)Reload,https://twitter.com/koshadillz,45238,I went to the dc march for Palestine and met some highly educated people.#FreeGaza #HamasTerrorists #israel #BringThemBackHome,,4.2K,1.4K,569,436K
22,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/IDFsoldiergirl/status/1721937320599826869,"Ora Levitt  חיילת צה""ל  עם ישראל חיReload",https://twitter.com/IDFsoldiergirl,45237,The #IDF will not back down. #NoCeasefire #October7massacre #HamasisISIS #IsraelPalestineWar #Israel #Palestine,,457,244,83,33K
23,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/IDFsoldiergirl/status/1721961127720984987,"Ora Levitt  חיילת צה""ל  עם ישראל חיReload",https://twitter.com/IDFsoldiergirl,45237,Would #Hamas do this? #IDF #Israel #IsraelFightsTerror #Gaza #CatsOfX #WeWillMarch,,506,160,138,31K
24,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/YayAreaNews/status/1722036817858318678,BAY AREA STATE OF MINDReload,https://twitter.com/YayAreaNews,45237,A SUMMARY FOR DUMMIES.#Israel #Palestine #FreePalestine,,250,89,83,27K
25,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/DravenNoctis/status/1722082993534034324,Noctis DravenReload,https://twitter.com/DravenNoctis,45238,Who is responsible for this? #UkraineRussianWar #ukraine #russia #Zelensky #putin #nato #BRICS #china #india #africa #Trump #biden #EU #IsraeliCrimes #Palestine #Israel #PalestineUnderAttack #Palestina #Gazagenocide #gaza,,733,221,52,64K
26,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1721991960913748468,AbierReload,https://twitter.com/abierkhatib,45237,This gives me an extra 5% of hope in humanity and Americans in particular. #Israel #Gaza,,4.5K,2.5K,148,147K
27,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/KKhanabadosh/status/1722134181809897684,𝕏Ⓚ♡Ⓑ𓂆Reload,https://twitter.com/KKhanabadosh,45238,World's most sophisticated Israeli missiles turned around to attack their own territory #IsraelHamasWar #Israel #Gaza #فلسطين_تنتصر #GazaHolocaust #IsraelisaGenocidalState,,521,275,57,64K
28,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/total_woke_/status/1722090050719244744,Eminent Intellectual,https://twitter.com/total_woke_,45238,It's for humanity guys .    #Israel,https://pbs.twimg.com/media/F-YXwDcbMAAeuve?format=jpg&name=small,11K,3.2K,144,180K
29,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/KKhanabadosh/status/1722134181809897684,𝕏Ⓚ♡Ⓑ𓂆Reload,https://twitter.com/KKhanabadosh,45238,World's most sophisticated Israeli missiles turned around to attack their own territory #IsraelHamasWar #Israel #Gaza #فلسطين_تنتصر #GazaHolocaust #IsraelisaGenocidalState,,521,276,57,64K
30,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/Palestine_028/status/1722304294626455966,Areeba ImranReload,https://twitter.com/Palestine_028,45238,"So you attacked our mosque? Where is Hamas in this? Where is self-defense in this? Wait,if we attack your churchAre we terrorists?Don't worry i will show your every dark and bright reality#IsraelisaGenocidalState #Gaza_Geniocide #غزة_تزحف_الى_القدس #Israel #الموت_لإسرائيل",,2,4,1,152
31,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1722253074927173687,Quds News NetworkReload,https://twitter.com/QudsNen,45238,Press coverage : Occupation forces (#Israel) bombed a school where a large number of displaced people are sheltering in #Gaza.,,2K,2.3K,90,86K
32,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/bhadrauli/status/1722156305241219117,unblemishReload,https://twitter.com/bhadrauli,45238,Australia  Stands with #Palestine  #GazaHolocaust #IsraelAttack #غزة_تزحف_الى_القدس #فلسطين_تنتصر #Israel #IsraeliNewNazism #حماس_تمثل_أمة_الإسلام#فلسطين_تنتصر #CeasefireNOW #Palestine trump#IsraelisaGenocidalState #Maxwell #Lebanon Hezbollah,,877,319,104,97K
33,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/IDFsoldiergirl/status/1722130139897634980,"Ora Levitt  חיילת צה""ל  עם ישראל חיReload",https://twitter.com/IDFsoldiergirl,45238,The Israel #Defense Forces (#IDF) will not apologize for defending #Israel against terrorism. #HamasTerrorists #HamasMassacre #Oct7Massacre #October7Massacre #Gaza #NoCeasefire #BringThemBackHomeNow,,426,151,59,18K
34,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/umyaznemo/status/1722133729202557044,RaniaReload,https://twitter.com/umyaznemo,45238,"Palestinian journalist Mohammad Aloul lost all his children, his brothers & members of his family when  targeted his home in the camp. One of his sons wanted to be a footballer, the other a photographer. #Israel ki11ed them & their dreams!",,762,733,66,27K
35,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/ASE/status/1722280644804223290,AHMED | أحمدReload,https://twitter.com/ASE,45238,The deputy Prime Minister of #Belgium is saying it is time for sanctions against #Israel. #moreofthis,,608,393,25,15K
36,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/lostPassen8/status/1722211634603794827,lost_PassengerReloadبانو وِرتا,https://twitter.com/lostPassen8,45238,This is how the terrorist organization #Hamas deceives the world. The brutal organization thus creates an oppressed image. #israel #HamasisISIS #IsraelPalestineWar #MrFAFO #NoJewsNoNews,,38,24,12,2.2K
37,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/Muhamma40247642/status/1722226316760776774,Muhammad ShahbazReload,https://twitter.com/Muhamma40247642,45238,She bids farewell to their kid's .She arranging them and wipe their face so they can go on their final destination (Jannah).#النصر_الدحيل #deprem #Maxwell #AUSvsAFG #IsraelisaGenocidalState #Gaza_Geniocide #Israel #Hamas #smog #طوفان_القدس #Hezbollah #Saudia…,,225,176,34,21K
38,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/RimzFatima/status/1722214777982951662, Rimsha Fatima #FreePalestineReload,https://twitter.com/RimzFatima,45238,"This video is from Auraiya, UP. where a brother tried his best to save his sister's Life when an ambulance was not available but could not save her life.There is no ambulance for our own people but Sanghies claim support for Israel Shame#IsraelisaGenocidalState #Israel",,31,23,4,1.5K
39,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1721946192639090822,AbierReload,https://twitter.com/abierkhatib,45237,Glad to see the Zionists not getting away with this kind of sh***t. No free lunch in the US anymore #Israel,,1.5K,617,53,51K
40,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/Sabirmiankhel/status/1722071262057701393,Sabir Khan MiankhelReload,https://twitter.com/Sabirmiankhel,45238,#israel is not state #طوفان_الاقص,,16,9,2,2.1K
41,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/ZechariahSharab/status/1722302980685263250,Zechariah Shar'abi | זכריה | زكرياReloadEretz Israel,https://twitter.com/ZechariahSharab,45238,#Jews and #Muslims in #Israel volunteering together to help the communities of Southern #Israel affected by the #Hamas #October7massacreUnited against #HamasisISIS,,25,12,1,627
42,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/RoINTEL/status/1722304388700499995,RoINTEL,https://twitter.com/RoINTEL,45238,A GoPro Footage Recovered from another #Hamas Terrorist showing the moment they took control of the Route 232 in #Israel and set up multiple checkpoints to kill Israeli Civilians,,2,2,1,98
43,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/ME_Observer_/status/1722300549683347899,Middle East ObserverReload,https://twitter.com/ME_Observer_,45238,"Khalid Al-Falih, Saudi Arabia’s Minister of Investment :Talks toward the normalization of ties with #Israel remain on the table.“But they have always been contingent on a pathway to a peaceful resolution of the Palestinian question.”",,24,9,12,3.5K
44,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/KimJongwins/status/1722010444473258419,KimJongWinsReload,https://twitter.com/KimJongwins,45237,"If you thought Zionists couldn’t be anymore evil, here is evidence of them attacking the aid convoy that entered #Gaza. Israeli extremism has no morals, no bounds. #Israel",,216,176,18,9.5K
45,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/_superp/status/1721913969231741135,Mo7a - Mi Fa #Reloadجمال الساير,https://twitter.com/_superp,45237,#VoteBlueToProtectYourRights Your voice is meaningless any way since your money taxes funds #Israel crimes. #IsraelisaGenocidalState,,164,152,15,20K
46,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1721995404206551213,AbierReload,https://twitter.com/abierkhatib,45237,"If Hamas was hiding in a hospital or school in DC or NY or Paris, would you accept the logic of bombing it and wiping out everyone there? We all know the answer. But I’m glad they are now admitting that they are bombing hospitals #Gaza #Israel",,1.2K,716,72,46K
47,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/islamic_turkey/status/1722304014786678904,Islamic Invitation TurkeyReload,https://twitter.com/islamic_turkey,45238,"In a demonstration of support for Palestine, tens of thousands of Jordanians chanted the slogan,  ""Are they saying Hamas is a terrorist organization? All of Jordan is a member of Hamas.""#palestine #hamas #qassam #gaza #Gaza_Geniocide #jordan #israel",,3,3,1,80
48,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/adnandani41/status/1722169611842359453,𝗔𝗱𝗻𝗮𝗻 𝗗𝗮𝗻𝗶 Reload,https://twitter.com/adnandani41,45238,This child's entire family was killed in an #Israeli bombardment in GazaNow he will grow up to be like#AbuUbaidah and #Zionist will call him a terrorist#طوفان_الاقص #freepalestinenow #غزة_تزحف_الى_القدس #Gaza #GazaHolocaust #Gaza_Geniocide #IsraelisaGenocidalState #Israel,,301,186,21,24K
49,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1722265327340560643,Quds News Network,https://twitter.com/QudsNen,45238,#Breaking | Ten of cases of suffocation in Al-Shifa Hospital due to White Phosphorus bombs fired by the occupation forces (#Israel).,https://pbs.twimg.com/media/F-a3HUWbUAAYHSP?format=jpg&name=small,1.3K,1.5K,56,44K
50,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1721931926150242436,Quds News NetworkReload,https://twitter.com/QudsNen,45237,"""We come to Al Shifa Hospital to keep us bombing, we suddenly run out of death more!""Those children decided to organize their own press conference to tell the world about the situation, especially in northern #Gaza after #Israel divided another Palestinian land there.",,6K,5.1K,188,284K
51,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1721895859670180013,AbierReload,https://twitter.com/abierkhatib,45237,I luv how James dismantles the Zionist arguments and make a joke out of them. Brilliant #Israel#Gaza,,3.9K,1.7K,126,151K
52,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1722110267188822181,AbierReload,https://twitter.com/abierkhatib,45238,"Yes bro, nothing justifies bombing a refugee camp. NOTHING #Israel",,1.1K,800,48,28K
53,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/engelabiha/status/1721984618310651929,اِنِقلابی‌ها Reload,https://twitter.com/engelabiha,45237,A scene of a Muslim thanking the Jews for anti-Zionism#CeasefireForGazaNOW #Gaza #GazaHolocaust #Israel #Gaza_Geniocide #FreeGaza #FreePalestineNow #Gazabombing #GazaUnderaAttack,,471,178,37,50K
54,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/total_woke_/status/1722168504093385208,Eminent Intellectual,https://twitter.com/total_woke_,45238,"When people show you who they are, believe them.  #Israel #Hamas",https://pbs.twimg.com/media/F-ZfHArbUAAf4W6?format=jpg&name=small,2.7K,834,22,63K
55,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/bhadrauli/status/1722162917397946732,unblemishReload,https://twitter.com/bhadrauli,45238,"A Palestinian man is shattered at heartbreaking sight of his mother's lifeless body, torn to pieces during an Israeli airstrike that struck their #Gaza home#GazaHolocaust  #فلسطين_تنتصر #Israel  #حماس_تمثل_أمة_الإسلام#فلسطين_تنتصر #Palestine #Gaza_Geniocide",,43,37,4,7.7K
56,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/doamuslims/status/1721954932536856961,DOAMReload,https://twitter.com/doamuslims,45237,#Israel Kills Babies!This little child was killed today after Israeli warplanes bombed her house in #Gaza.#Palestine #GazaCeasefire #Gaza_under_attack #GazaHolocaust #GazaGenocide,,1.1K,1.2K,57,52K
57,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/bhadrauli/status/1722271472637595815,unblemishReload,https://twitter.com/bhadrauli,45238,Norway  stand with #Palestine in fight against #Israel .#IsraelisaGenocidalState #ChatGPT4 #النصر_الدحيل #Gaza_Geniocide #TheMarvels#GazaHolocaust #غزة_تزحف_الى_القدس #فلسطين_تنتصر #Israel #IsraeliNewNazism #حماس_تمثل_أمة_الإسلام#فلسطين_تنتصر  trump USA,,111,93,13,16K
58,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/AthiMtongana/status/1721944221781766510,Athi MtonganaReload,https://twitter.com/AthiMtongana,45237,"[SOUTH AFRICA] Naledi Pandor, Minister of International Relations and Cooperation has called out the International Criminal Court, accusing it of having double standards in the #Israel/#Palestine conflict. SA’s members of Parliament debated the developments in the Middle East.",,1.1K,622,145,108K
59,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/Lucas_Gage_/status/1722114654405620201,Lucas Gage,https://twitter.com/Lucas_Gage_,45238,Do you understand now?#Israel #Zionism #GazaHolocaust  #JewHatred,https://pbs.twimg.com/media/F-Yt4TFXYAAq9Pt?format=png&name=small,5.7K,2K,469,283K
60,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/JasimAlJahwari1/status/1722304293368115279,Jasim AlJahwariReload,https://twitter.com/JasimAlJahwari1,45238,#GazaHolocaust#IsraelisaGenocidalState #Gaza_Geniocide #غزة_تزحف_الى_القدس #outage #deprem #Maxwell #BoycottDior #Israel #Optusoutage #Palestine Open your eyes  up,,2,3,1,251
61,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1722096864957206572,AbierReload,https://twitter.com/abierkhatib,45238,Incredible… this dude just discovered he’s fooled all his life l after he read The Israel Project's 2009GLOBAL LANGUAGE DICTIONARYOn how to manipulate Americans into supporting #IsraelHe’s starting a series to expose those tactics. Watch this space.  #Gaza,,2K,1.2K,55,74K
62,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/SouleFacts/status/1722234207932748221,Oxomiya Jiyori ReloadRuheen Bi,https://twitter.com/SouleFacts,45238,BREAKING : Saudi police detained the imam of a Saudi congregation for urging Arab leaders to stand in support of the Gaza population.Sadly! In India we are given free run to all Jihadis.#US #Israel #Gaza #Hamas #IDF #Hezbollah,,219,141,17,6.3K
63,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/NuHakolBeseder/status/1721974326696554690,Tirana טירנהReload,https://twitter.com/NuHakolBeseder,45237,"This is what our dear boys and girls in the #IDF are facing...#Terror Tunnels hidden under cars, under ferris wheels in  children's Amusement Parks, hospitals, and schools. #HamasIsToast #HamasislSIS #Israel #BringThemHome",,378,280,36,18K
