Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,UTC_Time,Tweet_Content,Tweet_Image_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,Pro Palestine,https://twitter.com/AXELKAISER/status/1719125303237177469,AXEL KAISER,https://twitter.com/AXELKAISER,2023-10-30T22:53:06.000Z,LGTB pro Palestine : looking forward to seeing you demonstrating over there,https://pbs.twimg.com/media/F9uPWeeWIAAwLJW?format=jpg&name=small,False,15,78,244,20K
Post&amp;Comment,Pro Palestine,https://twitter.com/feeuhkra/status/1719105884884807850,~ Sami Mokbel,https://twitter.com/feeuhkra,2023-10-30T21:35:57.000Z,Manor Solomon spread lies on his insta story - nothingZinchenko shared a pro Israel post on insta - nothing Choudhury posts a pro Palestine tweet - he's getting a banNice one lads,,False,,5,35,2.3K
Post&amp;Comment,Pro Palestine,https://twitter.com/CharlotteERosen/status/1719139361235538184,Charlotte E. RosenAdam JohnsonReload,https://twitter.com/CharlotteERosen,2023-10-30T23:48:58.000Z,Biden's crew gleefully comparing antizionist and pro-Palestine protestors to Nazis at Charlottesville,,False,2,60,218,12K
Post&amp;Comment,Pro Palestine,https://twitter.com/outlivethemnyc/status/1719107213313069183,Outlive Them NYC,https://twitter.com/outlivethemnyc,2023-10-30T21:41:13.000Z,Neo-nazis are attempting to use pro-Palestine rallies as a way to spread their anti-Semitic conspiracy theories. Read up!,https://pbs.twimg.com/card_img/1721644087902601217/fCPBM57Y?format=jpg&name=small,False,11,438,702,43K
Post&amp;Comment,Pro Palestine,https://twitter.com/Timid_Timothy/status/1719139373487165929,Timothy after school,https://twitter.com/Timid_Timothy,2023-10-30T23:49:01.000Z,I heard Ben & Jerry's are actively pro Palestine,,False,,,17,1K
Post&amp;Comment,Pro Palestine,https://twitter.com/Will_Bunch/status/1719116249618104813,Will BunchJake Sherman,https://twitter.com/Will_Bunch,2023-10-30T22:17:08.000Z,"For Israel supporters, what's worse? A few kids doing pro-Palestine chants on the college green, or these Republicans sabotaging U.S. aid with a blackmail demand on behalf of billionaire donors?I'm looking forward to the Bari Weiss articles calling Mike Johnson an antisemite",,False,32,126,392,27K
Post&amp;Comment,Pro Palestine,https://twitter.com/hugs4crowley/status/1719113457360908681,Remmie𓆓 |DTIYS pinned!!|michael sheen ,https://twitter.com/hugs4crowley,2023-10-30T22:06:02.000Z,"I swear i don’t know if that’s what you really meant or you just didn’t word it correctly. sir, are you neutral or pro palestine ?",,False,6,,20,1.6K
Post&amp;Comment,Pro Palestine,https://twitter.com/seasnofthew1tch/status/1719138141016056307,irix || free PS,https://twitter.com/seasnofthew1tch,2023-10-30T23:44:07.000Z,"zionists talking points are actually so fucking stupid. if being anti-zionist/pro palestine is anti semetic, then being a zionist/anti palestine is islamophobic. don't like it when your own rhetoric is being used against you?#CeasefireNOW #FreePalestine",,False,,9,21,583
Post&amp;Comment,Pro Palestine,https://twitter.com/CoralieAnn/status/1719131628784553993,Coralie,https://twitter.com/CoralieAnn,2023-10-30T23:18:14.000Z,How was your Saturday with your pro Palestine pals?!,,False,4,5,89,1.1K
Post&amp;Comment,Pro Palestine,https://twitter.com/lopaak/status/1719100603224186965,sol on twt (on break),https://twitter.com/lopaak,2023-10-30T21:14:57.000Z,"(note that im pro palestine and ant*z1on*st but i just wanna clarify this point)palestine didnt legalize gay marriage 1951, they decriminalized same sex private relationships, which israel recriminalize when colonizing west bankit was still a big step towards equality that-",,False,7,41,225,7.2K
Post&amp;Comment,Pro Palestine,https://twitter.com/Cernovich/status/1719109689127125082,Cernovich,https://twitter.com/Cernovich,2023-10-30T21:51:04.000Z,"It's perfectly acceptable, as a right wing position, to not be pro-Israel. You can be neutral. It's perfectly principled to refuse to choose a side.You cannot be pro-Palestine, and anyone telling you otherwise is a foreign-funded op or MKULTRA experiment.",https://pbs.twimg.com/media/F9uA0sNbkAAfWcX?format=jpg&name=small;https://pbs.twimg.com/media/F9uA1LdbcAAeV_Q?format=png&name=360x360,False,102,118,799,94K
Post&amp;Comment,Pro Palestine,https://twitter.com/Swiftsbeatles/status/1719137796076482620,LeoReloadإيـمان | ‎﮼بكـــماء,https://twitter.com/Swiftsbeatles,2023-10-30T23:42:45.000Z,To every Israel and IDF supporter this is a message not from pro-Palestine or a Palestinian but from ex IDF soldier,,False,1,44,70,6.1K
Post&amp;Comment,Pro Palestine,https://twitter.com/sandieshoes/status/1719086183379070997,sandieshoes ,https://twitter.com/sandieshoes,2023-10-30T20:17:39.000Z,GBNewsLabour suspends MP Andy MacDonald after his speech at Pro Palestine rally.,,False,10,30,126,2.2K
