Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,UTC_Time,Tweet_Content,Tweet_Image_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,Pro Israel,https://twitter.com/OSHIANSTARKS/status/1718029702126788775,- ali ! yuri aziracrow truther  fan acctou,https://twitter.com/OSHIANSTARKS,2023-10-27T22:19:35.000Z,"apologies for retweeting that tweet saying it was a scam, it seems to be a pro Israel acc!!",https://pbs.twimg.com/media/F9eizI7WsAASDK6?format=jpg&name=small,False,,2,4,549
Post&amp;Comment,Pro Israel,https://twitter.com/kuroiwagf/status/1718026980682035365,Kae ⚢daily mizuena ,https://twitter.com/kuroiwagf,2023-10-27T22:08:46.000Z,if you are a follower of mine or of my gimmick account here and are pro israel please go away,,False,,3,6,802
Post&amp;Comment,Pro Israel,https://twitter.com/929SELFISH/status/1718027230306021702,ANTO,https://twitter.com/929SELFISH,2023-10-27T22:09:45.000Z,deactivate after being called out for being pro israel how ridiculous,https://pbs.twimg.com/media/F9eoqNkXYAACFGW?format=jpg&name=small,False,,,9,533
Post&amp;Comment,Pro Israel,https://twitter.com/ArmandDoma/status/1718044444367450503,Armand Domalewski,https://twitter.com/ArmandDoma,2023-10-27T23:18:09.000Z,"The truth is that the American public is and has been very pro-Israel for a long time for a lot of reasons, and there’s a well funded pro-Israel lobby that makes being pro-Palestine challenging for American politicians. Even Trump complained about Netanyahu!",,False,2,8,135,3.6K
Post&amp;Comment,Pro Israel,https://twitter.com/v3rstappen1/status/1718015368923349285,lulu ❀ lulu ❀ ,https://twitter.com/v3rstappen1,2023-10-27T21:22:37.000Z,i am pro palestine and always will be if you’re pro israel block me please i couldn’t care less tbh! i find it so upsetting that the western media loves to pick & chose on whose human rights they like to advocate for.,,False,,,6,265
Post&amp;Comment,Pro Israel,https://twitter.com/bottomforbeals/status/1718027547697377463,phoebe,https://twitter.com/bottomforbeals,2023-10-27T22:11:01.000Z,influencers and companies are using their platforms to be pro israel and support a genocide stfu you worm https://twitter.com/thesmokesys/status/1718006640828465281…,,False,1,3,4,521
Post&amp;Comment,Pro Israel,https://twitter.com/JTWeaver6/status/1718016352106033548,JTWeaver,https://twitter.com/JTWeaver6,2023-10-27T21:26:32.000Z,No one is protesting in support of Hamas and you know this. It's perfectly legitimate to criticize Israeli treatment of Palistinians and still be anti Hamas. They are not mutually exclusive positions. I'm pro Israel vs. Hamas and I'm pro Palestinian autonomy.,,False,2,1,14,157
Post&amp;Comment,Pro Israel,https://twitter.com/karatechophya/status/1718033921680585060,hya⁷,https://twitter.com/karatechophya,2023-10-27T22:36:21.000Z,"if you are queer and pro israel, you do not know your own community's history. queers have supported ""disapproving"" groups in the past (re:LGSM), liberation did not happen by being indifferent, and you are leaving behind a whole nation of people with your silence.",,False,1,1,2,52
Post&amp;Comment,Pro Israel,https://twitter.com/yurieem/status/1718027507616678298,y(ꪜ)rie  sh0p 0pen,https://twitter.com/yurieem,2023-10-27T22:10:51.000Z,"if you're pro israel don't bother dming me to tell me i'm a ""stupid ignorant"" like the dumbass with the isreali flag in their dn just did, just block me.",,False,,3,30,1K
Post&amp;Comment,Pro Israel,https://twitter.com/richards1052/status/1718022400208667133,Tikun Olam,https://twitter.com/richards1052,2023-10-27T21:50:34.000Z,"If you look at the number of Followers most of the pro Israel troll accounts have which are flooding our TLs, they're between 0-100, max.",,False,,1,4,287
Post&amp;Comment,Pro Israel,https://twitter.com/JoahSantos/status/1718015810050929012,Joah,https://twitter.com/JoahSantos,,Being pro #ceasefire is not pro-terror! It’s pro humanity. Don’t let them manipulate you into thinking it is!They are bombing the hostages they say they care about! These are the countries that voted to continue killing civilians:UNITED STATESISRAELAUSTRIACROATIA…,,False,25,151,286,13K
