Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,UTC_Time,Tweet_Content,Tweet_Image_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,Pro Palestine,https://twitter.com/DeanMThomson/status/1721677216000442757,Dean M Thomson ,https://twitter.com/DeanMThomson,2023-11-06T23:53:30.000Z,"Former Hamas chief Mohammad Sawalha behind Armistice Day protest. He is same man FM Humza Yousaf met in 2008 in an SIF arranged Holyrood parliament meeting. The FM has publicly backed Sawalha's 'protest' on Armistice Day, saying it should go ahead",https://pbs.twimg.com/card_img/1721657253432840192/nvVBfQz-?format=jpg&name=small,False,47,413,611,32K
Post&amp;Comment,Pro Palestine,https://twitter.com/Dannyjm__/status/1720697435855458520,Not Brian Kidd's MateRock Hall,https://twitter.com/Dannyjm__,2023-11-04T07:00:12.000Z,Zack De La Rocha refused to attend RATM's Rock Hall inductionHe refused to allow the Rock Hall to play any of RATM's songsHe will instead be attending a pro-Palestine march in SoCal today,,False,1,5,24,3.3K
Post&amp;Comment,Pro Palestine,https://twitter.com/TottenhamConse1/status/1721768951091216677,Tottenham Conservatives,https://twitter.com/TottenhamConse1,2023-11-07T05:58:01.000Z,Poppy seller assaulted forced out of Edinburgh station by Pro-Palestine protesters. We call on Sadiq Khan & Sir Mark Rowley to ensure this doesn’t happen in London. #LondonCrime,https://pbs.twimg.com/media/F-Tzu8rXYAAO8wt?format=jpg&name=small,False,3,31,40,961
Post&amp;Comment,Pro Palestine,https://twitter.com/Seriewoordenaar/status/1720918769101398470,Seriewoordenaar Huso,https://twitter.com/Seriewoordenaar,2023-11-04T21:39:42.000Z,Largest ever pro-Palestine rally in U.S. history in Washington D.C.,,False,2,21,48,936
Post&amp;Comment,Pro Palestine,https://twitter.com/RetiredNYCPD/status/1721841063084650716,Blue Lives Matter ,https://twitter.com/RetiredNYCPD,2023-11-07T10:44:34.000Z,Jewish man Paul Kessler is killed during Palestine protest at California intersection as his wife is left in 'a state of total shock',https://pbs.twimg.com/card_img/1721705099544625152/N9ZJ8kCV?format=jpg&name=small,False,4,2,9,371
Post&amp;Comment,Pro Palestine,https://twitter.com/Newareopagitica/status/1721990513748779325,Areopagitica,https://twitter.com/Newareopagitica,2023-11-07T20:38:26.000Z,"Are you suprised Humza Yousaf's BFF is a former HAMAS Chief..That was a rhetorical question..the sad thing is, you don't care that you encourage terrorism. That's what the SNP want. Blood on London streets.",https://pbs.twimg.com/card_img/1721657253432840192/nvVBfQz-?format=jpg&name=small,False,2,14,20,634
Post&amp;Comment,Pro Palestine,https://twitter.com/baum_p/status/1721657283325636907,Peter Baum,https://twitter.com/baum_p,2023-11-06T22:34:17.000Z,Human excrement - pro Palestinians attack a lone 78 year old poppy seller ……these protesters are the scum of the earth,https://pbs.twimg.com/card_img/1721656094768963585/CYeOzJ8X?format=jpg&name=small,False,,15,35,828
Post&amp;Comment,Pro Palestine,https://twitter.com/pslnational/status/1720918878442639786,Party for Socialism and Liberation,https://twitter.com/pslnational,2023-11-04T21:40:08.000Z,NOW IN DC: Participants in the largest-ever pro-Palestine protest in US history unfurl a list of the martyrs who fell victim to Biden and Netanyahu’s genocide #March4Palestine,https://pbs.twimg.com/media/F-HumHbX0AAkxlF?format=jpg&name=small,False,20,1K,2.4K,105K
Post&amp;Comment,Pro Palestine,https://twitter.com/PalHighlight/status/1720661145357357517,Palestine HighlightsReload,https://twitter.com/PalHighlight,2023-11-04T04:36:00.000Z,"Pro-Palestine protesters call for ceasefire during a candlelight vigil in Dublin, Ireland, in a show of support for Gaza against Israeli aggression #GazaGenocide",,False,6,169,294,13K
Post&amp;Comment,Pro Palestine,https://twitter.com/NileGardiner/status/1721250764079743164,Nile GardinerAviva KlompasReload,https://twitter.com/NileGardiner,2023-11-05T19:38:56.000Z,"A massive contrast to the menacing, hate-filled pro-Palestine/ pro-Hamas protests on the streets of London.",,False,4,89,524,8.8K
