Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/GhorbaniiNiyak/status/1721549683703591312,Ghorbani Niyak,https://twitter.com/GhorbaniiNiyak,Nov 6,Look at the different between Pro-Israel and Pro-Hamas protest in London!#HamasTerrorists #IraniansStandWithIsrael,,1.9K,542,123
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/real1maria/status/1721772709065957504,Maria ,https://twitter.com/real1maria,Nov 7,Pro-Israel TikTokers in France sing about death of Palestinian children#ZionismIsNazism,https://pbs.twimg.com/ext_tw_video_thumb/1721772676572753920/pu/img/G6L5mjkodLARHj5z.jpg,106,95,14
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/Bharatheeyam9/status/1720941542729457899,Bharatheeyam,https://twitter.com/Bharatheeyam9,Nov 4,Islamic State of United Kingdom Anti Israel Anti Semitic Pro Hamas Pro terrorrism protestors burn a London Metropolitan Police officer on duty in London. Violent muslim mob was chanting scary slogans of ‘K!ll All Jews’ ‘We want Sharia Law in England’ ‘K!ll All Infidels’.,https://pbs.twimg.com/ext_tw_video_thumb/1720941522244513792/pu/img/lPJsqcefHz-maLGS?format=jpg&name=small,38,33,26
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/ShayanX0/status/1721240827974815893,Shayan X,https://twitter.com/ShayanX0,Nov 5,"Iranian people have shown remarkable support for Israel, actively engaging in pro-Israel marches in Europe and America. Lily Jamali, an Iranian woman, delivered a powerful speech in support of Israel, at a recent rally in London.#IraniansStandWithIsrael",https://pbs.twimg.com/amplify_video_thumb/1721149599086264320/img/vQLMro2EBV413b3P.jpg,1.4K,431,90
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/OliLondonTV/status/1721151574582370364,Oli London,https://twitter.com/OliLondonTV,Nov 5,Notice a difference?  Pro-Israel                           Pro-Palestine ,,2.6K,695,151
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/IlmFeed/status/1721531583499207123,ilmfeed,https://twitter.com/IlmFeed,Nov 6,Pro-Israel NPCs be like...,,551,375,15
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/websiteidi0t/status/1721661182166106120,experiencing ego death after taking one cd gummy,https://twitter.com/websiteidi0t,Nov 6,BREAKING: Israeli sniper known as “The Rat of Tel Aviv” has been killed by Hamas while streaming on TikTok live,https://pbs.twimg.com/media/F-SRuEXWAAAeeeS?format=jpg&name=small,16K,1.9K,515
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/AGHamilton29/status/1721680330430545937,AG,https://twitter.com/AGHamilton29,Nov 7Nov 6,"There is a NY pro-Israel rally tonight. Thousands of people are attending. You won’t hear much about it because they aren’t chanting genocidal slogans, they aren’t harassing random people on the street, they aren’t defacing American statutes.Instead they are calling to bring…Beautiful scene at tonight’s United for Israel rally!",https://pbs.twimg.com/profile_images/1569761502885826563/ErVE_ImM_mini.jpg,28K,5.7K,1.1K
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/SaeedDiCaprio/status/1721617370186199437,Hurt CoPain,https://twitter.com/SaeedDiCaprio,Nov 6,stanford released a statement saying that a pro-israel student wrote this to draw negative attention towards pro-palestine protests and yet this page tweeted it and put palestinian students in danger ,,78K,16K,179
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/FrumTikTok/status/1722026001801117948,Frum TikTok,https://twitter.com/FrumTikTok,Nov 7,A man interrupted a pro-Israel rally at McGill University in Montreal.,https://pbs.twimg.com/ext_tw_video_thumb/1722025725941690368/pu/img/_cTv9-uRKeoWFsoQ.jpg,46,11,37
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/KirkLubimov/status/1721270591540670919,Kirk Lubimov,https://twitter.com/KirkLubimov,Nov 5,Amazing Pro Israel protest in Calgary so much fun and energy with brothers and sister from India and Iran joining in.Completely out numbering the Hamas sympathizers who even tho murdered Gazan by the hundreds and thousands still have their support.Also noticed not a single…,https://pbs.twimg.com/ext_tw_video_thumb/1721270541128970240/pu/img/AH0Cx15jguEaUVbn.jpg,2K,514,147
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/hausofriya/status/1720845652421177596,𝚏𝚊𝚛𝚡𝚒𝚢𝚘.,https://twitter.com/hausofriya,Nov 4,"Canva is pro Israel so uh, y'all got any alternatives we can use instead?",,165,103,8
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/FineEthan/status/1721584043848843468,Ethan Fine,https://twitter.com/FineEthan,Nov 6,Just imagine for a second if a Jewish American burned a Palestinian flag at a rally. It’d be on the cover of every newspaper. But you won’t see that because pro-Israel gatherings are peaceful. Not violent or destructive.,https://pbs.twimg.com/amplify_video_thumb/1721030818657669120/img/v0fJ9FL7cviY6wir.jpg,48,17,1
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/Christcucks2/status/1720888835192578275,Christcuck Pastors,https://twitter.com/Christcucks2,Nov 4,Charlie Kirk says Christians who aren't pro-Israel don't love the Bible,https://pbs.twimg.com/ext_tw_video_thumb/1720888766204624896/pu/img/aDrpLiRJ5SnAIZ-R.jpg,152,35,34
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/RepDonaldsPress/status/1721873436702548183,Congressman Byron Donalds,https://twitter.com/RepDonaldsPress,Nov 7,"Yesterday, an elderly Jewish man named Paul Kessler was murdered for attending a pro-Israel event in CA.This shocking hate crime is yet another chapter in the vile anti-Semitism sweeping our country.Now more than ever WE MUST stand with our Jewish neighbors.Don't look away.",,3.2K,1.4K,277
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/KirkLubimov/status/1721273443247890540,Kirk Lubimov,https://twitter.com/KirkLubimov,Nov 5,"Oh Canada singing on the pro Israel side.Which side didn't sing it and booed it? You guessed it, the Hamas sympathizers.#yyccc",https://pbs.twimg.com/ext_tw_video_thumb/1721273392018427904/pu/img/dj0d4MIWHwntHGrO.jpg,435,102,21
Top,Pro Israel until:2023-11-08 since:2023-11-01,https://twitter.com/search?q=Pro%20Israel%20until%3A2023-11-08%20since%3A2023-11-01&src=typeahead_click&f=top,https://twitter.com/JasonMBrodsky/status/1721157285680922631,Jason Brodsky,https://twitter.com/JasonMBrodsky,Nov 5,"Amazing speech by Lily, a member of #Iran’s diaspora, at a pro-#Israel rally in London today. The Iranian people, Israelis, and Jews have common enemies: #IRGCterrorists. Connecting the #WomanLifeFreedom movement to this moment is very powerful.",https://pbs.twimg.com/amplify_video_thumb/1721149599086264320/img/vQLMro2EBV413b3P.jpg,1.8K,643,126
