Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/savedgirl316/status/1711777831133622403,savedgirl316,https://twitter.com/savedgirl316,Oct 10,#BoycottLUSHBOYCOTT  !!!!#IStandWithIsrael #ProIsrael #StopFundingTerrorism#StopFundingHamas#StopAntiSemitism#PrayForIsrael #PrayForThePeaceOfJerusalem#Israel ,https://pbs.twimg.com/media/F8F0J8Oa8AAnc57?format=jpg&name=900x900,11,6,1
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/meforum/status/1719814453556916620/analytics,Middle East Forum,https://twitter.com/meforum,,"Cities and universities throughout the nation have witnessed what the media insists on calling ""pro-Palestine rallies."" But you won’t find any calls for Palestinian statehood, only hostility to Israel. From A.J. Caschetta.",https://pbs.twimg.com/card_img/1721973376086925313/Sbbg_3Ze?format=jpg&name=small,100,29,44
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/DovorahDovorah1/status/1712829952393871427,Dvorah,https://twitter.com/DovorahDovorah1,Oct 13,"WOW!  is censoring a LOT of #ProIsrael accounts, patriotic tweets! What the hell  ?",,,,
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/learning38/status/1711959133505699883,Sara,https://twitter.com/learning38,Oct 11,I love and support Israel!  Israel will never stop existing!  #Israel #IsraelFightsBack #proisrael,,,1,
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/danishrasheed23/status/1712941301715624425,DR,https://twitter.com/danishrasheed23,Oct 13,"ProblemReactionSolution With #Hamas action, #Israel got the justification to eliminate the remaining #Palestine.#Hamas is #ProPalestine or #ProIsrael ?",,,,
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/salcheikhh/status/1711527033187254684,Sara Cheikh,https://twitter.com/salcheikhh,Oct 9,"Australia's overtly #proIsrael stance and its perspective on the #Palestinian #resistance undeniably echo a history marred by #racism, #colonisation, and #Islamophobia.",,,,1
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/wayntv1/status/1711185396745359797,wayntv,https://twitter.com/wayntv1,Oct 9,#PostTrib  yet hoping to be wrong#PreMil#ProIsrael,,1,,
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/erguncaner/status/1710838418391900300,Dr. Ergun Caner,https://twitter.com/erguncaner,Oct 8,Just in case it wasn’t clear…#PreTrib#PreMill#ProIsrael-Genesis 12:3,https://pbs.twimg.com/media/F74eeSLW0AA35dh?format=jpg&name=small,88,14,5
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/Insipid80/status/1712927771155194363,Bushra-,https://twitter.com/Insipid80,Oct 13,"It may sound crude, yet #IsraelPalestineWar is proving you can either be 100% #ProIsrael & #antihumanity or 100% #ProPalestine #forhumanity, you can't be anything in between, buts, ifs have ceased to matter.",,,,
Top,#ProIsrael until:2023-10-14 since:2023-10-07,https://twitter.com/search?q=%23ProIsrael%20until%3A2023-10-14%20since%3A2023-10-07&src=typed_query&f=top,https://twitter.com/DrShea_DC/status/1711377376704172357,Shea Bradley-Farrell,https://twitter.com/DrShea_DC,Oct 9,An honor to speak today at the #ProIsrael conference in #Budapest in solidarity with our Israeli friends. We  stand solidly behind #Israel and their right to self-defense.    Thank you ,https://pbs.twimg.com/media/F8AIpZ6XgAAdAYs?format=jpg&name=small,37,15,5
